a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 41.0-1
alacritty 0.9.0-3
alsa-card-profiles 1:0.3.43-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
ansible 5.1.0-1
ansible-core 2.12.1-1
aom 3.2.0-1
apm 2.6.4-3
apparmor 3.0.3-2
appstream-glib 0.7.18-2
arandr 0.1.10-7
arc-gtk-theme-eos 20220102-1
arc-x-icons-theme 2.1-3
archlinux-appstream-data-pamac 1:20220107-1
archlinux-keyring 20211028-1
archlinux-xdg-menu 0.7.6.3-2
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
atom 1.58.0-1
attr 2.5.1-1
audit 3.0.6-5
augeas 1.12.0-2
autoconf 2.71-1
autojump 22.5.3-9
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-3
babl 0.1.88-2
balena-etcher 1.7.3-1
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bind 9.16.23-3
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
bluez-libs 5.63-1
boost 1.78.0-1
boost-libs 1.78.0-1
box2d 2.4.1-1
bridge-utils 1.7.1-1
brotli 1.0.9-7
btrfs-progs 5.15.1-3
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calc 2.14.0.8-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-1
catfish 4.16.3-2
cdparanoia 10.2-8
celluloid 0.22-1
celt 0.11.3-4
chromaprint 1.5.1-1
cifs-utils 6.14-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gtk 1.8.4-2
cmake 3.22.1-5
cogl 1.22.8-1
colord 1.4.5-4
confuse 3.3-3
conky-lua-nv 1.12.2-1
conkyforecast 2.24-1
containerd 1.5.9-1
coreutils 9.0-2
cpio 2.13-2
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.2-3
curl 7.81.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
debootstrap 1.0.126-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dhclient 4.4.2.P1-4
dhcpcd 9.4.1-1
dialog 1:1.3_20211214-1
diffutils 3.8-1
ding-libs 0.6.1-3
discord 0.0.16-1
djvulibre 3.5.28-3
dkms 3.0.3-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docbook2x 0.8.8-18
docker 1:20.10.12-1
docker-compose 2.2.3-1
dosfstools 4.2-1
double-conversion 3.2.0-1
downgrade 10.1.0-1
dtc 1.6.1-3
duf 0.7.0-1
dunst 1.7.3-1
e2fsprogs 1.46.5-1
edk2-ovmf 202111-5
efibootmgr 17-2
efitools 1.9.2-3
efivar 37-4
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron12 12.2.3-2
electron9 9.4.4-4
elfutils 0.186-2
ell 0.47-1
emacs 27.2-1
enchant 2.3.2-1
endeavouros-keyring 1-5
endeavouros-mirrorlist 4.4-2
endeavouros-skel-xfce4 1.0-6
endeavouros-theming 7.0-1
endeavouros-xfce4-terminal-colors 2-1
eos-apps-info 1.2.1-1
eos-bash-shared 1.10.29-1
eos-hooks 1.4.18-1
eos-log-tool 1.4.13-1.1
eos-rankmirrors 2.1.3-1
eos-translations 1.1.60-1
eos-update-notifier 1.14-2
ethtool 1:5.15-1
evince 41.3-1
evolution 3.42.3-1
evolution-data-server 3.42.3-1
exfatprogs 1.1.3-1
exiv2 0.27.5-1
exo 4.16.3-1
expat 2.4.2-1
f2fs-tools 1.14.0-3
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
